"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Carmil3",7.2471729179499e-05,0.634969922487669,0.538,0.389,1,"4","Carmil3"
"Wscd21",7.33706605864388e-05,0.658198875362802,0.545,0.384,1,"4","Wscd2"
"Alcam1",7.3735806631035e-05,0.797860849152777,0.629,0.521,1,"4","Alcam"
"Pnma3",7.82778402014295e-05,0.758500553269562,0.392,0.243,1,"4","Pnma3"
"Vac141",8.09835878756846e-05,1.00315410564624,0.301,0.172,1,"4","Vac14"
"Igdcc4",8.56580723612789e-05,0.537182461841395,0.503,0.335,1,"4","Igdcc4"
"Rbfox11",8.62048115967077e-05,0.315912862849529,0.958,0.937,1,"4","Rbfox1"
"Sema4g",9.37092180327184e-05,0.655979448618522,0.483,0.327,1,"4","Sema4g"
"Tspyl2",9.56230599835447e-05,0.484049837795828,0.615,0.447,1,"4","Tspyl2"
"Ppp1r9a1",0.000104642456251372,0.431630232008378,0.895,0.817,1,"4","Ppp1r9a"
"Zfp804b2",0.000106492632359445,0.870217919364275,0.65,0.551,1,"4","Zfp804b"
"Gcc2",0.000112461187635816,0.520138372575741,0.559,0.394,1,"4","Gcc2"
"Nckap5",0.000113630330245375,0.498280378587648,0.441,0.278,1,"4","Nckap5"
"Prxl2a",0.000130738431003298,0.823707459965747,0.315,0.183,1,"4","Prxl2a"
"Cfap46",0.000132972865012565,0.628829643835322,0.559,0.408,1,"4","Cfap46"
"Greb1l1",0.000135949571674668,0.472763975087389,0.517,0.352,1,"4","Greb1l"
"Umad1",0.000143866033206779,0.692758202096118,0.503,0.357,1,"4","Umad1"
"Dok6",0.000157061594781465,0.461448966567108,0.776,0.684,1,"4","Dok6"
"Clmn1",0.000169381016562948,0.685986810014652,0.357,0.216,1,"4","Clmn"
"Frmpd41",0.000186606181363149,0.359094108705827,0.769,0.652,1,"4","Frmpd4"
"Prlr",0.000191680067325036,0.479723912393038,0.49,0.325,1,"4","Prlr"
"Col4a1",0.000196212231269183,0.641880961622197,0.441,0.295,1,"4","Col4a1"
"Zfp618",0.000199782009535518,0.61206086201678,0.448,0.297,1,"4","Zfp618"
"Cacna1i",0.000204249869053837,0.686323743971472,0.476,0.324,1,"4","Cacna1i"
"Samd14",0.000205009691592403,0.842199062016837,0.294,0.169,1,"4","Samd14"
"Sash1",0.000209773675373641,0.680981299530931,0.497,0.353,1,"4","Sash1"
"Ndst3",0.000212522613077522,0.625523121823343,0.476,0.335,1,"4","Ndst3"
"Cadm11",0.000231480097448785,0.264061528886474,0.979,0.946,1,"4","Cadm1"
"Rnf25",0.000237500463253685,0.467670952681605,0.566,0.411,1,"4","Rnf25"
"Siah3",0.000243013723449413,0.78561553365047,0.259,0.14,1,"4","Siah3"
"Glt8d1",0.000243855118978097,0.595198865954042,0.51,0.354,1,"4","Glt8d1"
"Fryl",0.000286483999768185,0.612359599938641,0.58,0.453,1,"4","Fryl"
"Lrig21",0.000286490882915706,0.533723208255263,0.469,0.318,1,"4","Lrig2"
"Cep162",0.000290636518776393,0.664228100637525,0.448,0.309,1,"4","Cep162"
"Egfem11",0.000303430687588995,0.438731459849296,0.734,0.589,1,"4","Egfem1"
"Lhx81",0.000305150340182647,0.625150861457224,0.273,0.148,1,"4","Lhx8"
"Zmym3",0.000312135684532226,0.442283099622575,0.678,0.532,1,"4","Zmym3"
"Ccdc341",0.000314996740860492,0.59511203507584,0.448,0.299,1,"4","Ccdc34"
"Grm11",0.000317011694578005,0.639041975133909,0.601,0.481,1,"4","Grm1"
"Sorcs31",0.000340565618814523,0.19899225432466,0.741,0.575,1,"4","Sorcs3"
"Yaf2",0.000340582440905364,0.810509027703842,0.287,0.166,1,"4","Yaf2"
"Ftx",0.000343186684996038,0.312359003442789,0.874,0.784,1,"4","Ftx"
"C130071C03Rik1",0.000401117373176449,0.602566736104968,0.448,0.311,1,"4","C130071C03Rik"
"Cdkl2",0.000410323276931586,0.824831930046749,0.378,0.257,1,"4","Cdkl2"
"Arhgef17",0.000415462276014418,0.627011203482752,0.469,0.322,1,"4","Arhgef17"
"Mir100hg",0.000416704566257736,0.300305283187567,0.93,0.837,1,"4","Mir100hg"
"Clu",0.000416713253689728,0.855247342469127,0.273,0.157,1,"4","Clu"
"Usp36",0.000420152562951857,0.499013957135187,0.51,0.359,1,"4","Usp36"
"Adam19",0.000426424742388003,1.00682976378964,0.259,0.151,1,"4","Adam19"
"E230029C05Rik1",0.000431166944009862,0.86393772104434,0.294,0.174,1,"4","E230029C05Rik"
"Arhgap18",0.000433974281192759,0.439371010707785,0.573,0.424,1,"4","Arhgap18"
"Mpped21",0.000442624013233361,0.358781818895,0.552,0.398,1,"4","Mpped2"
"Faim2",0.000448560096804414,0.460380916751128,0.566,0.433,1,"4","Faim2"
"Pnck",0.000466884619463202,0.625150861457224,0.455,0.319,1,"4","Pnck"
"Pam1",0.000513859906035591,0.336319927796669,0.769,0.645,1,"4","Pam"
"Nrg2",0.000520127666784745,0.505709402008754,0.608,0.474,1,"4","Nrg2"
"Prkg1",0.000526465298173221,0.623348363309372,0.776,0.685,1,"4","Prkg1"
"Zcchc182",0.000530864801110373,0.341036188455436,0.853,0.745,1,"4","Zcchc18"
"Atp11c1",0.000591687350975556,0.820829999489253,0.315,0.196,1,"4","Atp11c"
"Prr16",0.000606892670597554,0.495641876144517,0.524,0.38,1,"4","Prr16"
"Uchl1",0.000607625493964436,0.48922889826231,0.552,0.406,1,"4","Uchl1"
"Csmd11",0.000616850970094041,0.160916785278397,1,0.978,1,"4","Csmd1"
"Kcnb22",0.000625409575558672,0.255801861960241,0.986,0.901,1,"4","Kcnb2"
"Snx4",0.000630788130912203,0.870141091821256,0.329,0.218,1,"4","Snx4"
"Akap13",0.000654528821355241,0.618146844085797,0.35,0.222,1,"4","Akap13"
"Cers5",0.000667217832628591,0.504984895802801,0.594,0.451,1,"4","Cers5"
"Gm15155",0.00067050396005378,0.787151727150225,0.301,0.186,1,"4","Gm15155"
"Colgalt1",0.000677082311192825,0.659179104240667,0.406,0.277,1,"4","Colgalt1"
"Sema4a",0.000692974019234407,0.782138958916432,0.329,0.21,1,"4","Sema4a"
"Gm45159",0.000720528139366465,0.698707468427305,0.343,0.216,1,"4","Gm45159"
"Slit11",0.000737402561548704,0.195639584601703,0.552,0.385,1,"4","Slit1"
"Plekha6",0.000745653112842831,0.40518852192185,0.762,0.673,1,"4","Plekha6"
"Galnt13",0.000758638589737228,0.257156199505331,0.951,0.89,1,"4","Galnt13"
"Unc13b",0.000765369953842196,0.513555992760334,0.483,0.345,1,"4","Unc13b"
