"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group"
"GO:0051962","positive regulation of nervous system development","29/440","392/25730",0.0739795918367347,4.32612476808905,8.75303733514083,4.87760673051726e-11,6.21889836702016e-09,4.4796733597022e-09,"210933/192167/20238/14804/319387/13640/13508/18189/74053/52822/216028/331461/20320/14083/243499/242384/18472/330914/20616/330908/13047/65945/56637/18186/108138/64085/270190/17257/19876",29,"ADP_C_vs_ADP_N"
"GO:0060560","developmental growth involved in morphogenesis","25/440","292/25730",0.0856164383561644,5.00661581569116,9.08219918438759,4.97014854507105e-11,6.21889836702016e-09,4.4796733597022e-09,"54725/13640/319974/116837/13508/81907/50873/20404/52822/243743/19091/18472/11820/330914/76499/19211/14042/116838/269152/56637/18186/17756/29869/17257/19876",25,"ADP_C_vs_ADP_N"
"GO:0099565","chemical synaptic transmission, postsynaptic","18/440","146/25730",0.123287671232877,7.20952677459527,9.92462453772535,7.09107054318201e-11,8.60383225906084e-09,6.19761827378587e-09,"77531/192167/20238/14804/14402/116837/18189/81907/50873/19055/320127/14812/11820/19211/14806/116838/56637/17257",18,"ADP_C_vs_ADP_N"
"GO:0051648","vesicle localization","22/440","230/25730",0.0956521739130435,5.59347826086957,9.22993983741237,8.68117513911547e-11,1.02233603697113e-08,7.36421668147876e-09,"192167/116837/50873/319613/12558/20614/76707/20965/229521/18472/13426/12934/76499/20616/27062/19211/327814/219228/94090/17756/20336/17257",22,"ADP_C_vs_ADP_N"
"GO:0045927","positive regulation of growth","25/440","313/25730",0.0798722044728434,4.67070868428696,8.61833399333254,2.18270826487509e-10,2.42765663682219e-08,1.74871948706367e-08,"238161/13640/17967/116837/13508/50873/52822/18795/13046/14083/16001/50769/18472/21676/330914/116838/227743/56637/18186/56839/26413/13383/73094/17257/12540",25,"ADP_C_vs_ADP_N"
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","19/440","180/25730",0.105555555555556,6.17260101010101,9.18571903929773,3.16841465502081e-10,3.25290571248803e-08,2.34317305121647e-08,"23859/18191/14804/14803/81907/74053/50873/96935/18197/68566/65945/56637/74513/12325/70546/56839/26414/13383/20336",19,"ADP_C_vs_ADP_N"
"GO:0050905","neuromuscular process","21/440","228/25730",0.0921052631578947,5.38606459330144,8.77442574559497,4.7018061345911e-10,4.59171506412263e-08,3.30756066977654e-08,"14804/14169/18189/50873/94109/93686/109934/14167/12386/16531/14812/320772/50769/18472/11820/16510/11994/19211/218461/19156/17257",21,"ADP_C_vs_ADP_N"
"GO:1990806","ligand-gated ion channel signaling pathway","11/440","50/25730",0.22,12.865,11.076909617371,6.62338868276132e-10,6.31429721089913e-08,4.54839222826216e-08,"192167/14804/14803/14682/18795/14812/11820/14802/20866/14806/22063",11,"ADP_C_vs_ADP_N"
"GO:0097120","receptor localization to synapse","15/440","111/25730",0.135135135135135,7.90233415233415,9.61257541174144,7.50562129959518e-10,6.90087765857323e-08,4.97092507084774e-08,"23859/77531/192167/18191/81907/74053/20320/65945/56637/74513/70546/56839/26414/13383/20336",15,"ADP_C_vs_ADP_N"
"GO:0031346","positive regulation of cell projection organization","30/440","469/25730",0.0639658848614073,3.74055049428184,7.90064116557653,7.58338204238816e-10,6.90087765857323e-08,4.97092507084774e-08,"192167/13640/23964/319974/13508/74053/320840/52822/12805/235106/331461/20320/16001/234267/50769/18472/330914/20616/13176/13047/107035/14348/56637/18186/11789/75974/19876/15572/19762/12540",30,"ADP_C_vs_ADP_N"
"GO:0007163","establishment or maintenance of cell polarity","21/440","241/25730",0.0871369294605809,5.09552998868352,8.42569259172389,1.29542852726201e-09,1.10359485599087e-07,7.94955020089118e-08,"23859/243548/209630/52822/76260/244329/76707/16001/93742/18472/76499/20616/269152/56637/11789/17756/13383/67299/270190/20336/12540",21,"ADP_C_vs_ADP_N"
"GO:0001964","startle response","10/440","42/25730",0.238095238095238,13.9231601731602,11.0558363883182,1.74328388611748e-09,1.42451197551314e-07,1.0261219866728e-07,"14804/18189/50873/94109/12386/14812/16510/11994/19211/17257",10,"ADP_C_vs_ADP_N"
"GO:0031345","negative regulation of cell projection organization","20/440","224/25730",0.0892857142857143,5.22118506493506,8.36952096218142,2.1063634425072e-09,1.653701808588e-07,1.19121482610314e-07,"20745/192167/19270/52822/19055/235106/14812/64294/14083/13131/18472/18007/19211/56637/18186/17756/380711/29869/19122/19762",20,"ADP_C_vs_ADP_N"
