"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Lmf1",0.93148980117906,0.142808180154819,0.143,0.144,1,"Not significant"
"Cmtr1",0.932507084906044,0.112628125256383,0.321,0.335,1,"Not significant"
"Gm9750",0.933183334922482,-0.00695990890692233,0.03,0.029,1,"Not significant"
"Aldh1l1",0.933262463511157,-0.0606200420665237,0.018,0.018,1,"Not significant"
"Man2b2",0.935017106364268,-0.00999396899655558,0.018,0.018,1,"Not significant"
"Eif3c",0.935417676299054,0.0479559243993877,0.143,0.145,1,"Not significant"
"Asap3",0.93577684211162,0.00369224869402496,0.078,0.079,1,"Not significant"
"Resf1",0.936788326613131,0.058935622899799,0.219,0.22,1,"Not significant"
"Cir1",0.936912879081794,0.0529089035638903,0.158,0.16,1,"Not significant"
"Radx",0.938181224946205,-0.187532154548743,0.014,0.014,1,"Not significant"
"Col6a1",0.938231629423462,-0.017607153106431,0.084,0.083,1,"Not significant"
"Gm37986",0.938799717349073,-0.00695990890692233,0.016,0.016,1,"Not significant"
"Zfp748",0.938799717349073,-0.00695990890692233,0.016,0.016,1,"Not significant"
"Ccdc157",0.939552066848075,0.0584470871053204,0.067,0.068,1,"Not significant"
"Gm10130",0.939626926764106,0.0189187229186825,0.016,0.016,1,"Not significant"
"Kpna2",0.939652046810516,0.134395940338619,0.005,0.005,1,"Not significant"
"Asphd1",0.939753481798817,0.0300592805238833,0.084,0.085,1,"Not significant"
"Slf2",0.9405739666529,0.104469079114324,0.436,0.46,1,"Not significant"
"Fbl",0.940647571883439,0.00599020833457331,0.089,0.09,1,"Not significant"
"Ttc1",0.940813822350742,0.0945314794606795,0.104,0.103,1,"Not significant"
"Rtl1",0.940936105169909,0.177464662230505,0.071,0.071,1,"Not significant"
"Kat5",0.940974884213386,0.0808804310116171,0.075,0.076,1,"Not significant"
"1110059G10Rik",0.941253807271079,0.0469330990882799,0.023,0.022,1,"Not significant"
"Gm10353",0.941253807271079,0.0469330990882799,0.023,0.022,1,"Not significant"
"Nol12",0.941332677721379,0.0348602667877049,0.044,0.044,1,"Not significant"
"2700081O15Rik",0.941884401293426,0.0384715203400834,0.036,0.037,1,"Not significant"
"Timm44",0.942073066310264,0.0931130903354114,0.313,0.323,1,"Not significant"
"Abcd1",0.942596621919824,0.00886505825475981,0.064,0.063,1,"Not significant"
"Rnmt",0.942744387743162,0.0654485866211276,0.123,0.125,1,"Not significant"
"9330198I05Rik",0.942817198121982,-0.00310758341131567,0.014,0.014,1,"Not significant"
"Grin2c",0.942817198121982,-0.00310758341131567,0.014,0.014,1,"Not significant"
"Pwwp3b",0.944293012995595,0.0694404984978494,0.034,0.033,1,"Not significant"
"Kcnab3",0.944297673291362,0.0243423948737052,0.036,0.037,1,"Not significant"
"Pgd",0.944439445457635,0.0503316755501446,0.07,0.069,1,"Not significant"
"Pcdhga8",0.94445977776573,0.0640066124472209,0.014,0.013,1,"Not significant"
"Tceal1",0.94445977776573,0.0640066124472209,0.014,0.013,1,"Not significant"
"Btbd8",0.944607120934266,0.151239450502033,0.215,0.222,1,"Not significant"
"Mtfr1l",0.944993395968972,0.0915828567996457,0.075,0.076,1,"Not significant"
"Prmt1",0.94542085319448,0.20241436376727,0.093,0.093,1,"Not significant"
"Rplp0",0.945605945379688,0.0384715203400834,0.036,0.037,1,"Not significant"
"Tspan18",0.945795364194294,-0.0672379208310314,0.058,0.057,1,"Not significant"
"Ttc4",0.946336283182524,0.146978625458901,0.368,0.389,1,"Not significant"
"Nr2f6",0.946847176595491,0.094867576151981,0.025,0.024,1,"Not significant"
"Colgalt2",0.94712313998716,0.00194564431496946,0.012,0.012,1,"Not significant"
"Cfap100",0.94712313998716,0.00194564431496946,0.012,0.012,1,"Not significant"
"AI597479",0.947268907950708,-0.0652764044977454,0.031,0.031,1,"Not significant"
"1110008P14Rik",0.947317656855253,0.0694404984978494,0.036,0.035,1,"Not significant"
"Tab3",0.948063589714362,0.000540193603828065,0.051,0.052,1,"Not significant"
"Lin37",0.948227744703717,0.0539060224782517,0.057,0.057,1,"Not significant"
"Sox4",0.948597796430373,0.103633686567932,0.05,0.05,1,"Not significant"
"Col4a5",0.948792291219662,0.157116016838702,0.012,0.012,1,"Not significant"
"Traf7",0.948799438968287,0.159689960502529,0.154,0.158,1,"Not significant"
"Nfkbia",0.949145005763462,-0.0217232615786633,0.034,0.033,1,"Not significant"
"Pwwp3a",0.949274698889858,0.141348700980386,0.129,0.132,1,"Not significant"
"Kdm1a",0.949769608801937,0.0839980876346869,0.183,0.187,1,"Not significant"
"Dok2",0.949875307351929,0.0404197921296046,0.025,0.024,1,"Not significant"
"Crispld1",0.950490251113204,-0.0785977829955788,0.01,0.01,1,"Not significant"
"Twistnb",0.952178608480307,0.109612839408731,0.084,0.085,1,"Not significant"
"Ets2",0.952682857313487,0.158643486585296,0.038,0.039,1,"Not significant"
"Kdm5b",0.952929612792451,0.089712326639696,0.335,0.345,1,"Not significant"
"Zdbf2",0.95323895580295,0.228823476426079,0.265,0.274,1,"Not significant"
"Car11",0.95333436404261,0.0446931373903869,0.215,0.215,1,"Not significant"
"Utp14a",0.953383300331271,0.0691683175630002,0.173,0.173,1,"Not significant"
"Nap1l1",0.953702330842167,0.0924134908638432,0.283,0.291,1,"Not significant"
"Fat4",0.95491925627633,-0.0199322060526752,0.029,0.029,1,"Not significant"
"Uba1",0.95518831320216,0.065754274733488,0.105,0.106,1,"Not significant"
"Glul",0.955244386889936,0.106915203916513,0.035,0.035,1,"Not significant"
"Zbtb10",0.955261903812637,-0.0532310628371526,0.025,0.024,1,"Not significant"
"F3",0.955836651505232,0.051933780146646,0.016,0.015,1,"Not significant"
"Taf9b",0.955836651505232,0.051933780146646,0.016,0.015,1,"Not significant"
"Cad",0.956083194621793,-0.00310758341131567,0.029,0.029,1,"Not significant"
"Ccdc85b",0.956282417986927,0.086461463274917,0.033,0.033,1,"Not significant"
"Cep170b",0.956477630128106,0.0476843071452882,0.101,0.102,1,"Not significant"
"Tmem25",0.956639746090722,0.0879432783609091,0.163,0.163,1,"Not significant"
"Fermt2",0.956828774277541,0.129936292147919,0.254,0.259,1,"Not significant"
"Repin1",0.958414507529445,0.0258714835604499,0.1,0.1,1,"Not significant"
"Eif3j1",0.959389671922629,0.143113157439728,0.138,0.139,1,"Not significant"
"Proser3",0.959422771293522,0.0441981313670405,0.029,0.029,1,"Not significant"
"Dusp11",0.959862352758082,0.0766423530326472,0.385,0.397,1,"Not significant"
"Exosc10",0.960041042677348,0.0714817330093678,0.295,0.303,1,"Not significant"
"Car2",0.960925016467586,0.0900018209801656,0.007,0.007,1,"Not significant"
"Pnpo",0.960971733730599,-0.00310758341131567,0.043,0.044,1,"Not significant"
"Aven",0.961097839816029,0.104648596944567,0.031,0.031,1,"Not significant"
"G6pc3",0.961312506150356,0.0869070145572999,0.11,0.111,1,"Not significant"
"Ranbp2",0.961532222159038,0.168004332981439,0.319,0.328,1,"Not significant"
