"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","log10_p"
"Syt17",0.000225034335700763,-1.92709368824839,0.032,0.139,1,"Not significant",0
"Hsd17b12",0.000225781881292975,-2.12128921775418,0.026,0.128,1,"Not significant",0
"4931406C07Rik",0.000227037769294058,-2.10218039480648,0.026,0.128,1,"Not significant",0
"Iqcb1",0.000227042965258989,-1.41030269016881,0.077,0.204,1,"Not significant",0
"Ikzf2",0.000227990115745296,-2.63269511150526,0.013,0.106,1,"Not significant",0
"Tgfbrap1",0.000228292867875719,-2.08281506993955,0.026,0.128,1,"Not significant",0
"Psmb2",0.00022901465374221,-1.81419963184245,0.038,0.149,1,"Not significant",0
"Tmem169",0.000231180279651527,-2.51721789408532,0.013,0.106,1,"Not significant",0
"Ero1lb",0.000231180279651527,-2.51721789408532,0.013,0.106,1,"Not significant",0
"Ildr2",0.000231325604754786,-0.583986906298023,0.141,0.303,1,"Not significant",0
"Zic1",0.000233540002207626,-2.18018290680775,0.032,0.138,1,"Not significant",0
"Zfp672",0.000234669744715962,-2.2827526404483,0.019,0.117,1,"Not significant",0
"Copg2",0.000234671393176445,-0.648462427363575,0.179,0.347,1,"Not significant",0
"Aatk",0.000235897618914791,-0.724069464525992,0.205,0.372,1,"Not significant",0
"Ttc5",0.000235970227109553,-1.73444861030599,0.045,0.158,1,"Not significant",0
"Onecut2",0.000236365204752149,-1.95610213531853,0.032,0.139,1,"Not significant",0
"Ctnnd1",0.000236600471649615,-1.79732581327806,0.032,0.139,1,"Not significant",0
"Ergic2",0.00023669834120445,-1.22676803067113,0.09,0.222,1,"Not significant",0
"Dcaf8",0.000236967312488536,-0.805787392026253,0.115,0.264,1,"Not significant",0
"Dner",0.000237522584298298,-0.533706016873891,0.314,0.51,1,"Not significant",0
"Sema5a",0.000239781254442269,-2.10218039480648,0.026,0.128,1,"Not significant",0
"Atrx",0.000241612099820563,0.486319569985882,0.846,0.831,1,"Not significant",0
"Slx4ip",0.000241895299674931,-2.0365920531789,0.032,0.138,1,"Not significant",0
"Syp",0.000241953611275982,-0.736859704405735,0.199,0.363,1,"Not significant",0
"Rprd2",0.000243150993743935,-0.688058601709369,0.147,0.301,1,"Not significant",0
"Prkcz",0.000243919568998562,-0.576718905833984,0.231,0.411,1,"Not significant",0
"Fars2",0.000245402740845702,-0.929115685833599,0.103,0.242,1,"Not significant",0
"Atg13",0.00024551700631178,-1.50109822872204,0.038,0.15,1,"Not significant",0
"D5Ertd579e",0.000245563974233877,-0.829161900400063,0.135,0.284,1,"Not significant",0
"2610035D17Rik",0.000246207520083591,-0.887167503835628,0.103,0.244,1,"Not significant",0
"Mbnl1",0.000246320498470007,-0.842988055267078,0.141,0.294,1,"Not significant",0
"Dnal1",0.000246972318412674,-2.0697589171141,0.032,0.138,1,"Not significant",0
"Rpgr",0.000247387086329822,-0.742184259085596,0.135,0.29,1,"Not significant",0
"Spint2",0.000248667099753008,-2.0197182346145,0.032,0.138,1,"Not significant",0
"Stx12",0.000249118715203289,-1.71885175525497,0.038,0.149,1,"Not significant",0
"Hlf",0.000249566106511901,-2.36521480064027,0.013,0.106,1,"Not significant",0
"Ypel2",0.000249596245369891,-1.40828352253216,0.045,0.16,1,"Not significant",0
"Capza1",0.000250033562050166,-1.05034146328686,0.071,0.198,1,"Not significant",0
"Gfra1",0.000250140529059152,-1.52479111379012,0.071,0.194,1,"Not significant",0
"Sgms1",0.000251443492692389,-0.837396207022725,0.147,0.303,1,"Not significant",0
"Slc10a7",0.000251445278418109,-1.68357628050744,0.045,0.158,1,"Not significant",0
"Daam1",0.000253506020406279,-0.460262009273246,0.231,0.426,1,"Not significant",0
"Cdkl2",0.000253690356853729,-1.02669019522221,0.071,0.198,1,"Not significant",0
"Gle1",0.000253900634472936,-1.47327454649773,0.045,0.16,1,"Not significant",0
"Ints1",0.000253916013585258,0.986548523787853,0.346,0.218,1,"Not significant",0
"Atf2",0.000255480492614456,-1.07909678169344,0.103,0.24,1,"Not significant",0
"Tmem80",0.000255480695172414,-1.89572951733905,0.032,0.138,1,"Not significant",0
"Camta1",0.000255577165634721,-0.40633129619788,0.808,0.912,1,"Not significant",0
"Pnn",0.000256046093124462,0.776027446097955,0.622,0.572,1,"Not significant",0
"Cbfa2t2",0.000256793844431582,-1.11282763900599,0.083,0.217,1,"Not significant",0
"Ube2w",0.000256879566309348,-1.09145398821342,0.083,0.217,1,"Not significant",0
"Kif16b",0.000257050771594597,-1.2827526404483,0.083,0.211,1,"Not significant",0
"Rian",0.000257396680767931,-0.245194705024274,0.929,0.963,1,"Not significant",0
"Fyn",0.000257600245576108,-0.549954680497322,0.244,0.422,1,"Not significant",0
"Slc38a9",0.000259415985142725,-0.911496833197368,0.135,0.281,1,"Not significant",0
"Pgrmc1",0.000259998367470268,-1.06565451878136,0.071,0.198,1,"Not significant",0
"Mid2",0.000260673252670486,-2.00264472125556,0.019,0.117,1,"Not significant",0
"Cpne4",0.000261859415940784,-1.36034904546846,0.141,0.277,1,"Not significant",0
"Pdpr",0.00026331963597962,-1.64007464187086,0.045,0.158,1,"Not significant",0
"Gm14966",0.000263501746566782,-2.15876392317285,0.026,0.127,1,"Not significant",0
"Idh3g",0.000264130639249476,0.868840538221756,0.391,0.259,1,"Not significant",0
"Zfpm2",0.000265267441125364,-1.66041252991311,0.083,0.209,1,"Not significant",0
"Rhbdd2",0.000266143951492478,-1.04077985014233,0.071,0.198,1,"Not significant",0
