"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gabrb2",0.397975659754187,0.0596244561776657,0.418,0.403,1
"Pcsk2",0.397980453931219,0.0153754923303311,0.491,0.473,1
"Slc25a42",0.397980805064027,0.086245404044702,0.132,0.123,1
"Vamp1",0.398277328988446,0.153390036828543,0.095,0.087,1
"Snrnp48",0.398323417994825,-0.0885079273692665,0.491,0.495,1
"Sun2",0.39836740672689,-0.116338536211566,0.08,0.088,1
"Cnpy3",0.3985840567169,0.0677882343177472,0.108,0.1,1
"Wnt5a",0.39865200355417,-0.187954124305043,0.03,0.034,1
"3632454L22Rik",0.398728354643089,0.216477874818533,0.048,0.042,1
"Ubr5",0.398862546363776,-0.0528428541167018,0.805,0.794,1
"Pcsk7",0.398894674951589,-0.121692239966378,0.265,0.275,1
"Snx10",0.398901833964877,-0.0806281728454092,0.237,0.246,1
"Pnldc1",0.39891858513298,-0.117749485019273,0.044,0.05,1
"Gm35040",0.399002171931424,-0.217862762855934,0.018,0.022,1
"Dnajb9",0.399015122586089,0.129831268408009,0.034,0.03,1
"Lsm4",0.399134760159067,0.212787171754615,0.039,0.034,1
"Nagpa",0.39916766136166,-0.166099165319834,0.029,0.034,1
"Cggbp1",0.399233956252563,0.272556548265046,0.032,0.027,1
"Rapgef4",0.399532227518886,-0.0587968033038866,0.66,0.662,1
"Npr1",0.3996405690574,0.831046837625014,0.005,0.003,1
"Ehhadh",0.399641240870965,0.277878419482676,0.036,0.031,1
"Clk2",0.399726728933041,-0.171770927022467,0.218,0.226,1
"Aldh7a1",0.399753911693365,0.0835064680646775,0.197,0.186,1
"Serp1",0.399902716678635,0.199875907481403,0.035,0.03,1
"Zkscan16",0.399978894502222,0.0240823079499528,0.368,0.354,1
"Arl6ip4",0.400166885469191,-0.16173766783002,0.102,0.11,1
"Gm35867",0.400181522988006,-0.272457738128848,0.014,0.018,1
"Siah2",0.400380896006247,0.254854546531588,0.032,0.027,1
"2210016L21Rik",0.400434208414658,0.0229455009396236,0.289,0.273,1
"Cep97",0.400471804199744,0.11582662387206,0.139,0.13,1
"Arhgef7",0.400531293422252,-0.0731598905098897,0.478,0.482,1
"2900026A02Rik",0.400663379023211,0.0596982494331426,0.167,0.157,1
"Gm15494",0.400728903135108,0.227468658736509,0.044,0.039,1
"Bicd2",0.400905015028133,0.0370817430457628,0.17,0.159,1
"A330074K22Rik",0.401122143603521,-0.0837058757564768,0.138,0.147,1
"Sulf1",0.401340279178577,0.0857460960211827,0.165,0.156,1
"Sec31a",0.40139736101546,0.0483176381722861,0.234,0.221,1
"Slc20a1",0.401483294675226,0.0370998367823625,0.241,0.228,1
"Tm2d1",0.40153686606762,0.159883301854552,0.096,0.088,1
"Eif3e",0.401600143090703,0.0340603148343455,0.137,0.127,1
"Cdv3",0.401618750441468,0.236361907470613,0.073,0.066,1
"Eif2a",0.401638337008545,0.0733081025880766,0.158,0.148,1
"Gm48877",0.401677248377242,1.29047845626231,0.002,0.001,1
"Nlrp1b",0.401677248377242,1.29047845626231,0.002,0.001,1
"Myl1",0.402008627971737,0.968550361374948,0.002,0.001,1
"Gm38155",0.402008627971737,0.968550361374948,0.002,0.001,1
"Cp",0.402008627971737,0.968550361374948,0.002,0.001,1
"4930447N08Rik",0.402008627971737,0.968550361374948,0.002,0.001,1
"2500002B13Rik",0.402008627971737,0.968550361374948,0.002,0.001,1
"Hsd17b2",0.402008627971737,0.968550361374948,0.002,0.001,1
"7630403G23Rik",0.402008627971737,0.968550361374948,0.002,0.001,1
"Acsbg1",0.402008627971737,0.968550361374948,0.002,0.001,1
"8430419K02Rik",0.402008627971737,0.968550361374948,0.002,0.001,1
"Gm11525",0.402008627971737,0.968550361374948,0.002,0.001,1
"Shisal2b",0.402008627971737,0.968550361374948,0.002,0.001,1
"Olfm4",0.402008627971737,0.968550361374948,0.002,0.001,1
"Ppara",0.402008627971737,0.968550361374948,0.002,0.001,1
"Gm49445",0.402008627971737,0.968550361374948,0.002,0.001,1
