"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Avl9",1.37783270628747e-12,-1.28913355856879,0.041,0.114,2.4310480269736e-08,"Down"
"Zfp148",1.39340009298177e-12,-0.408994390221564,0.238,0.377,2.45851512405704e-08,"Down"
"Dhx30",1.40221791152894e-12,-0.372844264958019,0.22,0.361,2.47407328310166e-08,"Down"
"Stat5b",1.41955583547719e-12,-0.58367358293602,0.18,0.303,2.50466431611596e-08,"Down"
"Cfap300",1.42863914977047e-12,-1.23744635341482,0.049,0.126,2.52069091585502e-08,"Down"
"Mbd1",1.43918697569478e-12,-1.09782727328933,0.055,0.135,2.53930149991587e-08,"Down"
"Slit3",1.44451379608552e-12,-0.823612985854175,0.173,0.287,2.54870014181329e-08,"Down"
"Suclg1",1.47121354196212e-12,-1.60576735378664,0.032,0.099,2.59580917343797e-08,"Down"
"Hipk2",1.50755417677687e-12,-0.519703463567598,0.173,0.296,2.65992858950511e-08,"Down"
"Micu2",1.52267285890297e-12,-0.517770872788808,0.178,0.304,2.68660399224839e-08,"Down"
"Ddx52",1.52851681150257e-12,-1.48832148237796,0.04,0.111,2.69691506221513e-08,"Down"
"Ripor2",1.53129661193434e-12,-0.535796137777861,0.271,0.407,2.70181974209696e-08,"Down"
"Vdac2",1.53189894881571e-12,-1.20359200544484,0.04,0.112,2.70288250529044e-08,"Down"
"Map2k6",1.55634191333784e-12,-1.77569235522895,0.024,0.086,2.74600967189328e-08,"Down"
"Lpcat4",1.55832820572383e-12,-1.32823337825773,0.037,0.106,2.74951428617913e-08,"Down"
"Terf2",1.58432223593247e-12,-0.716113463103422,0.133,0.241,2.79537815307925e-08,"Down"
"Ptch1",1.5884477383297e-12,-0.969029207359085,0.082,0.172,2.80265718950892e-08,"Down"
"Rhbdd1",1.59426033250672e-12,-1.97983307200917,0.014,0.067,2.81291293067485e-08,"Down"
"Nup210",1.608637337159e-12,-0.549112136929068,0.171,0.293,2.83827971768333e-08,"Down"
"Nectin3",1.61607739124687e-12,-1.63100464528566,0.036,0.104,2.85140694911598e-08,"Down"
"Swi5",1.68479902134714e-12,-1.81309232703414,0.024,0.084,2.9726593932649e-08,"Down"
"Vti1a",1.69454974375259e-12,-0.384768167750055,0.358,0.524,2.98986356787707e-08,"Down"
"Rae1",1.69708153253586e-12,-0.717660233857534,0.105,0.206,2.99433065600627e-08,"Down"
"Rab3gap1",1.69720784273226e-12,-0.404102332560378,0.23,0.371,2.9945535177168e-08,"Down"
"Gm14296",1.70138780326473e-12,-1.52366627357174,0.032,0.099,3.00192864008029e-08,"Down"
"Trmt11",1.70190780432274e-12,-0.827115856813507,0.092,0.187,3.00284612994704e-08,"Down"
"Garem1",1.70635609492117e-12,-0.876839078685849,0.099,0.195,3.01069469387892e-08,"Down"
"Vta1",1.7153453269509e-12,-1.52224399822435,0.032,0.099,3.02655529487217e-08,"Down"
"Tmem80",1.72348184301746e-12,-1.16354502518156,0.046,0.121,3.04091136382001e-08,"Down"
"Ro60",1.73271367807594e-12,-0.907423053647738,0.077,0.166,3.05720001359719e-08,"Down"
"Ptgr2",1.74608345339613e-12,-1.6422093497547,0.031,0.096,3.08078964517213e-08,"Down"
"Aifm1",1.75051601994791e-12,-0.998492836260068,0.058,0.139,3.08861046559609e-08,"Down"
"Tdrd7",1.76229062889428e-12,-0.982458541415998,0.075,0.162,3.10938558562107e-08,"Down"
"Gna12",1.76442612348987e-12,-1.62487617673434,0.031,0.096,3.11315345228552e-08,"Down"
"Azin1",1.77730902604867e-12,-1.23356605241805,0.044,0.118,3.13588404556027e-08,"Down"
"3110021N24Rik",1.79940328143936e-12,-1.72295089315698,0.027,0.09,3.17486714977161e-08,"Down"
"Mir124a-1hg",1.80467026251877e-12,-0.550071364692118,0.18,0.304,3.18416021118813e-08,"Down"
"Fam120c",1.84760530022984e-12,-0.534382720549871,0.199,0.325,3.25991479172554e-08,"Down"
"Ap2b1",1.85081488668473e-12,-0.472410013138987,0.21,0.344,3.26557778606654e-08,"Down"
"Ccdc186",1.8524601924003e-12,-0.648603551696895,0.119,0.224,3.26848076347109e-08,"Down"
"Stx17",1.8746116010457e-12,-0.817977500542748,0.069,0.156,3.30756470888503e-08,"Down"
"Alas1",1.88358098217359e-12,-1.51265794939515,0.032,0.098,3.32339028494708e-08,"Down"
"Fggy",1.90491891633698e-12,-0.894157333897325,0.083,0.174,3.36103893598496e-08,"Down"
"Stag2",1.92596455684219e-12,-0.77700928370094,0.127,0.231,3.39817186409236e-08,"Down"
"Tarbp1",1.93292472023659e-12,-1.53319872783599,0.038,0.108,3.41045237638544e-08,"Down"
"Specc1",1.93437776009002e-12,-0.378713555080326,0.299,0.453,3.41301611990283e-08,"Down"
"Zfp2",1.94214767200347e-12,-1.17235132519294,0.049,0.125,3.42672535248292e-08,"Down"
"Gm16759",1.94430808647048e-12,-0.910024422346944,0.075,0.164,3.43053718776851e-08,"Down"
"Cap1",1.94536777285842e-12,-1.75861884187001,0.023,0.083,3.4324068984314e-08,"Down"
"Bnip3l",1.95000648660824e-12,-1.88038973389564,0.021,0.08,3.44059144497158e-08,"Down"
"Il6st",1.98327007287377e-12,-1.39346375007377,0.038,0.107,3.49928171657848e-08,"Down"
"Ndn",1.99364964094756e-12,-2.31505798950999,0.013,0.064,3.51759542648788e-08,"Down"
"Dis3l2",1.99497877609206e-12,-0.385199973858515,0.293,0.445,3.51994055253682e-08,"Down"
"Reep1",2.00640416723688e-12,-0.34187138027069,0.289,0.447,3.54009951267276e-08,"Down"
"Acvr1",2.02990765563572e-12,-1.18367509697384,0.052,0.129,3.58156906760366e-08,"Down"
"Tubb2a",2.044413697755e-12,-1.51956631873733,0.031,0.096,3.60716352831892e-08,"Down"
"Atp1b3",2.09216723505438e-12,-0.73736423656985,0.099,0.197,3.69141986952995e-08,"Down"
"Cox7b",2.10481525146e-12,-1.02080485306548,0.065,0.148,3.71373602967603e-08,"Down"
"Igsf9b",2.12711469039173e-12,-0.660996874507029,0.113,0.215,3.75308115972717e-08,"Down"
"Tmem87b",2.13507168705288e-12,-0.740385486492996,0.106,0.206,3.76712048463611e-08,"Down"
"8030462N17Rik",2.15416538277665e-12,-1.169971294341,0.052,0.129,3.80080940137112e-08,"Down"
"2900076A07Rik",2.16421358161009e-12,-1.79690884113864,0.025,0.086,3.81853844339285e-08,"Down"
"Htt",2.20978506110139e-12,-0.304426319296057,0.306,0.472,3.89894476180729e-08,"Down"
"Sema4d",2.22051058806257e-12,-0.52005593905077,0.163,0.283,3.91786888157761e-08,"Down"
"Cntnap3",2.22419955287004e-12,-1.23891338801776,0.056,0.135,3.92437769108389e-08,"Down"
"Dnaja2",2.23598921468895e-12,-1.02215253652723,0.066,0.15,3.94517937039719e-08,"Down"
"Usp40",2.27283391750279e-12,-0.437162293004457,0.219,0.356,4.01018816404192e-08,"Down"
"Tlk1",2.28065898972181e-12,-1.01690039860956,0.066,0.15,4.02399472146516e-08,"Down"
"Chsy3",2.28880999476562e-12,-0.5969765904588,0.17,0.29,4.03837635476447e-08,"Down"
"Got2",2.29108123517795e-12,-0.91716478118183,0.08,0.169,4.04238373134798e-08,"Down"
"Supt20",2.30063044936766e-12,-0.514064770609401,0.17,0.292,4.05923236486429e-08,"Down"
"Usp8",2.3102828265201e-12,-0.538526322019548,0.179,0.301,4.07626301911207e-08,"Down"
"Agfg2",2.31060077190182e-12,-1.03026518231455,0.066,0.15,4.07682400194358e-08,"Down"
"Slc17a5",2.31553190616471e-12,-0.686528365750473,0.108,0.21,4.08552449523701e-08,"Down"
"Clcc1",2.32461001231457e-12,-1.67112109178074,0.029,0.092,4.10154190572783e-08,"Down"
"Rpgrip1l",2.3443704030817e-12,-0.653533772717364,0.108,0.21,4.13640713919734e-08,"Down"
"Nfkb1",2.35648215765993e-12,-0.494930004162489,0.171,0.295,4.15777711897517e-08,"Down"
"Hadhb",2.35814663338367e-12,-1.14117403003356,0.044,0.118,4.16071391994215e-08,"Down"
"Tmem106b",2.36648209131901e-12,-1.85631081543723,0.019,0.076,4.17542100192327e-08,"Down"
"Zfp938",2.3844620841476e-12,-1.55787266368233,0.035,0.102,4.20714490127002e-08,"Down"
"Atl3",2.39410080644206e-12,-0.991092189423858,0.083,0.173,4.22415146288637e-08,"Down"
"Slc1a4",2.43057949608903e-12,-1.62136420883766,0.032,0.097,4.28851446289948e-08,"Down"
"Dhx40",2.43689994332791e-12,-1.1092657538789,0.061,0.142,4.29966626000776e-08,"Down"
"Tubgcp3",2.4686864607207e-12,-0.634710309597596,0.127,0.235,4.3557503912956e-08,"Down"
"Lamp1",2.46879726676955e-12,-1.43708551919496,0.04,0.11,4.35594589748819e-08,"Down"
"Ezh1",2.47034549658209e-12,-0.893296321541179,0.09,0.183,4.35867759416944e-08,"Down"
"Snx18",2.5101937331338e-12,-1.81309232703414,0.024,0.084,4.42898582274128e-08,"Down"
