"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mapk10",0.000838442470929113,0.293438219660752,0.75,0.696,1,"5","Mapk10"
"Fnbp1l2",0.000853646823233441,0.513771452864203,0.455,0.367,1,"5","Fnbp1l"
"Rapgef41",0.000863547550026389,0.368865324673054,0.557,0.456,1,"5","Rapgef4"
"B230209E15Rik1",0.000902491165596162,0.577489182609366,0.291,0.2,1,"5","B230209E15Rik"
"Gucy1a21",0.000926523636516148,0.315230831945537,0.803,0.737,1,"5","Gucy1a2"
"Rgl12",0.00102149566127139,0.688474753098434,0.34,0.262,1,"5","Rgl1"
"Smarcad1",0.00111665475694618,0.589603218483033,0.332,0.243,1,"5","Smarcad1"
"Samd121",0.00114649243552635,0.297506596712247,0.635,0.547,1,"5","Samd12"
"Htr2c2",0.00115615602752815,0.370731177214887,0.357,0.262,1,"5","Htr2c"
"Rftn1",0.00120294639185867,0.319757950767186,0.316,0.218,1,"5","Rftn1"
"Ptpro2",0.00124812255004509,0.457324538098521,0.447,0.35,1,"5","Ptpro"
"Eml11",0.00133037839460571,0.546080837394574,0.283,0.197,1,"5","Eml1"
"Tsga10",0.00138260215153841,0.6868889651045,0.258,0.179,1,"5","Tsga10"
"Dmd1",0.00140498511285281,0.157320865415256,0.848,0.75,1,"5","Dmd"
"1700012D14Rik1",0.00142810948118655,0.704937601880686,0.266,0.188,1,"5","1700012D14Rik"
"Dpp61",0.00151051804359763,0.183249062425466,0.975,0.936,1,"5","Dpp6"
"Upp2",0.00165741233392568,0.313319644231707,0.713,0.626,1,"5","Upp2"
"Zbtb202",0.00169000745148478,0.326772304340465,0.57,0.49,1,"5","Zbtb20"
"Rabl6",0.00170095451094596,0.34988879231651,0.525,0.427,1,"5","Rabl6"
"Btbd91",0.00173484216444627,0.458911155480904,0.529,0.44,1,"5","Btbd9"
"Xkr6",0.00180170497229348,0.343602240304628,0.684,0.602,1,"5","Xkr6"
"Tnrc6a",0.00185497633425802,0.211516224035083,0.877,0.869,1,"5","Tnrc6a"
"Ankrd422",0.00189446000392509,0.553759141233675,0.344,0.258,1,"5","Ankrd42"
"Grb101",0.00191567801466992,0.412430190125392,0.463,0.371,1,"5","Grb10"
"Prkca1",0.00191993702210707,0.194552226014361,0.475,0.383,1,"5","Prkca"
"Kmt2c",0.00197584632425536,0.280148007735632,0.689,0.605,1,"5","Kmt2c"
"Exoc6b",0.00198125711657802,0.354960364155672,0.553,0.465,1,"5","Exoc6b"
"Tlk21",0.00200100204283554,0.547842039184484,0.316,0.235,1,"5","Tlk2"
"Shtn11",0.00206745530949301,0.460410732240095,0.439,0.347,1,"5","Shtn1"
"Astn2",0.00207554039180849,0.163142960315904,0.762,0.667,1,"5","Astn2"
"Araf",0.00217080653496924,0.428412748317623,0.426,0.342,1,"5","Araf"
"A930015D03Rik1",0.00221699200347929,0.523337391005263,0.332,0.25,1,"5","A930015D03Rik"
